frame_idx,dt_ms,view_sse,visible_n,partition_n,load_n,spawn_n,tex_upload_n,evict_n,gpu_tex_cache,mesh_backlog,dl_in_flight,stale_skips,retry_after,frame_mesh,frame_despawn,evict_deferred
185,25.127,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
186,0.801,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
187,0.903,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
188,6.641,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
189,24.999,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
190,0.979,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
191,0.763,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
192,6.520,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
193,25.167,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
194,0.953,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
195,0.767,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
196,6.452,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
197,25.018,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
198,0.887,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
199,0.734,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
200,6.748,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
201,25.096,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
202,0.860,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
203,0.706,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
204,6.623,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
205,25.105,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
206,0.959,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
207,0.737,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
208,6.490,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
209,25.160,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
210,0.905,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
211,0.729,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
212,6.590,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
213,25.079,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
214,0.822,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
215,0.747,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
216,6.638,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
217,25.364,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
218,0.829,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
219,0.695,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
220,6.359,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
221,25.315,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
222,1.012,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
223,0.903,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
224,6.274,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
225,25.083,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
226,0.840,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
227,0.713,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
228,6.536,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
229,25.190,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
230,0.948,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
231,1.395,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
232,5.889,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
233,25.121,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
234,0.924,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
235,0.704,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
236,6.612,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
237,25.119,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
238,0.838,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
239,0.699,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
240,6.619,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
241,25.051,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
242,0.846,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
243,0.739,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
244,6.695,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
245,25.309,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
246,0.839,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
247,0.700,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
248,6.412,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
249,25.240,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
250,0.823,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
251,0.791,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
252,6.452,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
253,25.085,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
254,0.886,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
255,0.722,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
256,6.730,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
257,25.155,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
258,1.099,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
259,0.799,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
260,6.251,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
261,25.322,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
262,0.822,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
263,1.375,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
264,5.867,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
265,25.094,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
266,0.903,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
267,0.688,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
268,6.579,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
269,25.080,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
270,0.870,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
271,0.726,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
272,6.729,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
273,25.168,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
274,0.801,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
275,0.668,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
276,6.698,0,58,0,0,0,0,0,52,0,6,26,0,0,0,0
