frame_idx,dt_ms,view_sse,visible_n,partition_n,load_n,spawn_n,tex_upload_n,evict_n,gpu_tex_cache,mesh_backlog,dl_in_flight,stale_skips,retry_after,frame_mesh,frame_despawn,evict_deferred
59,0.768,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
60,1.896,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
61,5.844,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
62,24.715,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
63,0.899,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
64,0.627,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
65,6.462,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
66,25.422,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
67,0.800,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
68,0.647,0,40,72,72,0,0,0,0,0,252,0,0,0,0,0
69,6.552,0,40,64,64,0,0,0,0,0,252,0,0,0,0,0
70,25.205,0,40,64,64,0,0,0,0,0,252,0,0,0,0,0
71,0.851,0,40,64,64,0,0,0,0,0,252,0,0,0,0,0
72,0.687,0,40,64,64,0,0,0,0,0,252,0,0,0,0,0
73,6.847,0,40,64,64,0,0,0,0,0,252,0,0,0,0,0
74,25.095,0,40,64,64,0,0,0,0,0,252,0,0,0,0,0
75,0.757,0,40,64,64,0,0,0,0,0,252,0,0,0,0,0
76,1.658,0,40,64,64,0,0,0,0,0,252,0,0,0,0,0
77,5.599,0,40,48,48,0,0,0,0,0,252,0,0,0,0,0
78,25.475,0,40,48,48,0,0,0,0,0,252,0,0,0,0,0
79,1.139,0,40,48,48,0,0,0,0,0,252,0,0,0,0,0
80,0.796,0,40,48,48,0,0,0,0,0,252,0,0,0,0,0
81,5.844,0,40,48,48,0,0,0,0,0,252,0,0,0,0,0
82,25.242,0,40,40,40,0,0,0,0,0,252,0,0,0,0,0
83,0.785,0,40,40,40,0,0,0,0,0,252,0,0,0,0,0
84,0.812,0,40,40,40,0,0,0,0,0,252,0,0,0,0,0
85,6.845,0,40,40,40,0,0,0,0,0,252,0,0,0,0,0
